window_end_time,recon_error,failure_window,top_sensors,fault_type
2020-06-02 19:23:10,2.4305034,0,"TP2, Oil_temperature, Motor_current",Thermal Fault
2020-06-02 19:24:00,5.1141734,0,"LPS, TP2, Oil_temperature",Pressure Fault
2020-06-02 19:24:50,7.9489336,0,"LPS, TP2, Oil_temperature",Pressure Fault
2020-06-02 19:25:40,6.7717133,0,"LPS, Oil_temperature, Motor_current",Thermal Fault
2020-06-02 19:26:30,4.049408,0,"LPS, Oil_temperature, Reservoirs",Pressure Fault
2020-06-02 19:27:20,3.9558105,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:28:10,3.8129983,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:29:00,3.9024568,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:29:50,4.1349764,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:30:40,4.928586,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:31:30,5.2508693,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:32:20,4.827962,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:33:10,4.294136,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:34:00,4.129574,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:34:50,3.9713576,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:35:40,3.8210092,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:36:30,3.6775885,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:37:20,3.541268,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:38:10,3.408756,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:39:00,3.282334,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:39:50,3.1606665,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:40:40,3.0433056,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:41:30,2.9319105,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:42:20,2.8241801,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:43:10,2.7227287,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:44:00,2.6244411,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:44:50,2.5300446,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:45:40,2.4396863,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:46:30,2.3528564,0,"Reservoirs, TP3, LPS",Pressure Fault
2020-06-02 19:47:20,2.2707572,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:48:10,2.1915696,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:49:00,2.1175473,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:49:50,2.0459394,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:50:40,1.9782138,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 19:51:30,1.9145443,0,"LPS, Reservoirs, Motor_current",Pressure Fault
2020-06-02 19:52:20,1.8532414,0,"LPS, Motor_current, Reservoirs",Pressure Fault
2020-06-02 19:53:10,1.796452,0,"LPS, Motor_current, Reservoirs",Pressure Fault
2020-06-02 19:54:00,1.7418704,0,"LPS, Motor_current, Reservoirs",Pressure Fault
2020-06-02 19:54:50,1.6932157,0,"LPS, Motor_current, Reservoirs",Pressure Fault
2020-06-02 19:55:40,1.6470346,0,"LPS, Motor_current, Reservoirs",Pressure Fault
2020-06-02 19:56:30,1.6117549,0,"LPS, Motor_current, Towers",Digital Fault
2020-06-02 21:00:40,1.6287893,0,"LPS, Reservoirs, TP3",Pressure Fault
2020-06-02 21:01:30,1.5852965,0,"LPS, Reservoirs, Oil_temperature",Pressure Fault
2020-06-02 21:02:20,1.5031034,0,"LPS, Towers, Reservoirs",Digital Fault
2020-06-03 00:06:30,2.063187,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 00:07:20,2.0488002,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:08:10,2.0586267,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:09:00,2.0703528,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:09:50,2.0755663,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:10:40,2.0716074,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 00:11:30,2.0662827,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 00:12:20,2.0646107,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 00:13:10,2.0693932,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:14:00,2.1620526,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:14:50,2.046936,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:15:40,1.9592749,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 00:31:30,1.1849245,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:32:20,1.1850173,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:33:10,1.1810998,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:34:00,1.1792337,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:34:50,1.1786336,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:35:40,1.1720595,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:36:30,1.1706649,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:37:20,1.1775415,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:38:10,1.2421042,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:39:00,1.2797091,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:39:50,1.2094789,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 00:40:40,1.2172799,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 05:55:40,1.5790526,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 05:56:30,1.5299135,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 05:57:20,1.5505729,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 05:58:10,1.5471026,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 05:59:00,1.573238,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 05:59:50,1.586836,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:00:40,1.5936925,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:01:30,1.6013998,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:02:20,1.6346556,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:03:10,1.6306695,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:04:00,1.5554835,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-03 06:04:50,1.5077958,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-03 07:14:50,2.472634,0,"DV_pressure, Towers, Motor_current",Pressure Fault
2020-06-03 07:15:40,2.457193,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:16:30,2.4603815,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:17:20,2.4550667,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:18:10,2.4545038,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:19:00,2.4539762,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:19:50,2.4510493,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:20:40,2.4473202,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 07:21:30,2.47436,0,"DV_pressure, Towers, Motor_current",Pressure Fault
2020-06-03 07:22:20,2.3982372,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-03 07:23:10,2.3261197,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-03 07:24:00,2.303378,0,"DV_pressure, H1, TP2",Pressure Fault
2020-06-03 10:15:40,1.0886886,0,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-03 11:09:50,1.4830416,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-03 11:10:40,2.0356627,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-03 11:11:30,2.713966,0,"DV_pressure, H1, TP2",Pressure Fault
2020-06-03 11:12:20,1.9843435,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:13:10,1.7824116,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:14:00,1.7244744,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:14:50,1.6033974,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:15:40,1.4436102,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:16:30,1.2925124,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 11:17:20,1.1538997,0,"DV_pressure, Pressure_switch, Oil_temperature",Pressure Fault
2020-06-03 12:40:40,1.4059248,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:41:30,1.4177954,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:42:20,1.4254153,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:43:10,1.4279174,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:44:00,1.4272674,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:44:50,1.4277775,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:45:40,1.4320822,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:46:30,1.4448743,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:47:20,1.4892442,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:48:10,1.4082673,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:49:00,1.3365235,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 12:49:50,1.3008034,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 17:14:50,1.30562,0,"DV_pressure, Pressure_switch, TP3",Pressure Fault
2020-06-03 17:15:40,1.3021181,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:16:30,1.3495548,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 17:17:20,1.3819835,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:18:10,1.3877004,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:19:00,1.3782401,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:19:50,1.3741949,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 17:20:40,1.3699025,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 17:21:30,1.3785712,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:22:20,1.3611348,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-03 17:23:10,1.3469818,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-03 17:24:00,1.388798,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-04 00:33:10,2.0839515,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:34:00,2.0753784,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:34:50,2.0651572,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:35:40,2.062855,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:36:30,2.0573587,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:37:20,2.042211,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:38:10,2.0202134,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:39:00,2.0227184,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:39:50,1.9643786,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:40:40,1.9805039,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:41:30,2.082389,0,"DV_pressure, TP2, H1",Pressure Fault
2020-06-04 00:42:20,1.3584093,0,"DV_pressure, TP2, Towers",Pressure Fault
2020-06-04 07:18:10,1.3112667,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:19:00,1.3174556,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:19:50,1.3175526,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:20:40,1.3216264,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:21:30,1.3227803,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:22:20,1.3186378,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:23:10,1.3178015,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:24:00,1.3154111,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:24:50,1.3120291,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:25:40,1.3449765,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:26:30,1.2830993,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-04 07:27:20,1.0735621,0,"DV_pressure, Towers, TP2",Pressure Fault
2020-06-05 07:22:20,1.6942705,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 07:23:10,1.674288,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 07:24:00,1.6725163,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:24:50,1.6784275,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:25:40,1.6788297,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 07:26:30,1.704087,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 07:27:20,1.7044252,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 07:28:10,1.7082132,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:29:00,1.6790581,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:29:50,1.6713225,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:30:40,1.555848,0,"DV_pressure, Pressure_switch, TP2",Pressure Fault
2020-06-05 07:31:30,1.4521583,0,"DV_pressure, Pressure_switch, Towers",Digital Fault
2020-06-05 09:51:30,1.5207634,0,"DV_pressure, Towers, TP3",Pressure Fault
2020-06-05 09:52:20,1.3554274,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:53:10,1.4645591,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:54:00,1.7025967,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:54:50,1.8234563,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:55:40,2.0635648,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:56:30,2.0380902,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 09:57:20,2.1360521,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 09:58:10,2.3951144,0,"DV_pressure, Towers, Reservoirs",Pressure Fault
2020-06-05 09:59:00,1.4929638,0,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 12:13:10,1.0607446,1,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-05 12:14:00,1.0731605,1,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-05 12:14:50,1.0824107,1,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-05 12:15:40,1.0878832,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 14:19:00,1.0537086,1,"Towers, Pressure_switch, DV_pressure",Digital Fault
2020-06-05 14:19:50,1.1076251,1,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 14:20:40,1.1382556,1,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 14:21:30,1.232461,1,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 14:22:20,1.2567828,1,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 14:23:10,1.2967325,1,"DV_pressure, Towers, Pressure_switch",Digital Fault
2020-06-05 14:24:00,1.1892517,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 14:24:50,1.0857275,1,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-05 14:25:40,1.0640033,1,"DV_pressure, Oil_temperature, Towers",Pressure Fault
2020-06-05 15:41:30,1.0448366,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 15:42:20,1.0520786,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 15:44:00,1.0605593,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 16:37:20,1.0888002,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 16:38:10,1.1256264,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 16:39:00,1.1678375,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 16:39:50,1.1903625,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 16:40:40,1.0578339,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:54:50,1.0783787,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:55:40,1.1143541,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:56:30,1.1518203,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:57:20,1.1343691,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:58:10,1.1652019,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:59:00,1.1558906,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-05 17:59:50,1.0576138,1,"DV_pressure, Towers, Oil_temperature",Pressure Fault
2020-06-06 19:52:00,4.725748,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 19:52:50,4.516366,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 19:53:40,4.494447,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 19:54:30,4.641859,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 19:55:20,4.9856763,1,"DV_pressure, Oil_temperature, Reservoirs",Pressure Fault
2020-06-06 19:56:10,5.526789,1,"DV_pressure, Oil_temperature, Reservoirs",Pressure Fault
2020-06-06 19:57:00,6.1461954,1,"DV_pressure, Oil_temperature, Reservoirs",Pressure Fault
2020-06-06 19:57:50,6.8709183,1,"DV_pressure, Oil_temperature, Reservoirs",Pressure Fault
2020-06-06 19:58:40,7.6939683,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 19:59:30,8.574821,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 20:00:20,9.503809,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
2020-06-06 20:01:10,10.38879,1,"DV_pressure, Reservoirs, TP3",Pressure Fault
